City,Source,Users,New.Users,Sessions,Bounce.Rate,Pages...Session,Avg..Session.Duration,Goal.Conversion.Rate,Goal.Completions,Goal.Value,Date
Kernersville,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Knightdale,(direct),1,0,1,0.00%,4,0:00:31,0.00%,0,$0.00 ,20180812
Mebane,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Mebane,facebook.com,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Mebane,myubc.org,1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180812
Murphy,myubc.org,1,0,1,0.00%,4,0:01:45,0.00%,0,$0.00 ,20180812
Nashville,google,1,0,1,0.00%,4,0:28:50,0.00%,0,$0.00 ,20180812
Oak Island,yahoo,1,1,1,0.00%,4,0:01:35,0.00%,0,$0.00 ,20180812
Ocean Isle Beach,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Oxford,com.google.android.googlequicksearchbox,1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180812
Raleigh,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Raleigh,yahoo,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Roxboro,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Roxboro,myubc.org,1,0,2,50.00%,4,0:07:20,0.00%,0,$0.00 ,20180812
Shallotte,(direct),1,1,2,0.00%,2,0:05:53,0.00%,0,$0.00 ,20180812
Wake Forest,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Wake Forest,myubc.org,1,0,1,0.00%,2,0:00:13,0.00%,0,$0.00 ,20180812
Wendell,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Whiteville,google,1,0,1,0.00%,2,0:01:22,0.00%,0,$0.00 ,20180812
Williamston,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Wilson,myubc.org,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Winston-Salem,bing,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Montclair,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Newark,myubc.org,1,1,1,0.00%,4,0:02:33,0.00%,0,$0.00 ,20180812
Phillipsburg,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Marlboro,google,1,0,2,50.00%,5.5,0:04:18,0.00%,0,$0.00 ,20180812
Mount Vernon,myubc.org,1,1,1,0.00%,2,0:00:11,0.00%,0,$0.00 ,20180812
New York,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Oklahoma City,myubc.org,1,0,1,0.00%,2,0:00:18,0.00%,0,$0.00 ,20180812
Greensburg,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Philadelphia,(direct),1,0,1,0.00%,3,0:07:26,0.00%,0,$0.00 ,20180812
Philadelphia,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Pittsburgh,m.facebook.com,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Andrews,bing,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Columbia,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Columbia,myubc.org,1,1,1,0.00%,3,0:05:48,0.00%,0,$0.00 ,20180812
Myrtle Beach,(direct),1,1,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180812
Nashville,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Dallas,myubc.org,1,1,2,50.00%,6.5,0:23:30,0.00%,0,$0.00 ,20180812
Fort Worth,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Houston,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Mesquite,myubc.org,1,1,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180812
Newport News,bing,1,1,1,0.00%,5,0:07:09,0.00%,0,$0.00 ,20180812
Newport News,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Norfolk,myubc.org,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Richmond,myubc.org,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Stafford,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Stafford,google,1,0,1,0.00%,2,0:00:41,0.00%,0,$0.00 ,20180812
Virginia Beach,(direct),1,0,1,0.00%,3,0:00:44,0.00%,0,$0.00 ,20180812
Virginia Beach,myubc.org,1,1,1,0.00%,5,0:01:40,0.00%,0,$0.00 ,20180812
Seattle,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Churchville,l.facebook.com,1,1,1,0.00%,3,0:00:02,0.00%,0,$0.00 ,20180812
Flint Township,(direct),1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
Friendly,(direct),1,0,1,0.00%,2,0:00:12,0.00%,0,$0.00 ,20180812
Marvin,google,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
North Druid Hills,myubc.org,1,1,2,50.00%,2,0:00:32,0.00%,0,$0.00 ,20180812
Spokane Valley,(direct),1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180812
,,530,313,643,49.77%,2.21,0:03:22,0.00%,0,$0.00 ,20180812
Durham,(direct),63,32,79,50.63%,2.57,0:04:49,0.00%,0,$0.00 ,20180819
Durham,google,58,31,70,45.71%,3.16,0:07:56,0.00%,0,$0.00 ,20180819
Durham,myubc.org,57,18,72,18.06%,3.99,0:06:38,0.00%,0,$0.00 ,20180819
Charlotte,google,17,9,23,47.83%,2.78,0:04:51,0.00%,0,$0.00 ,20180819
Durham,bing,16,10,24,70.83%,1.83,0:02:47,0.00%,0,$0.00 ,20180819
Charlotte,(direct),15,8,18,66.67%,1.44,0:01:02,0.00%,0,$0.00 ,20180819
Charlotte,myubc.org,15,6,15,20.00%,2.53,0:06:26,0.00%,0,$0.00 ,20180819
Raleigh,google,9,2,10,70.00%,1.4,0:01:46,0.00%,0,$0.00 ,20180819
Atlanta,(direct),8,2,10,10.00%,4.8,0:10:13,0.00%,0,$0.00 ,20180819
Franklin,(direct),8,5,9,33.33%,2.22,0:10:17,0.00%,0,$0.00 ,20180819
New York,(direct),6,6,6,83.33%,1.67,0:00:11,0.00%,0,$0.00 ,20180819
Atlanta,google,5,4,7,71.43%,1.86,0:00:47,0.00%,0,$0.00 ,20180819
Atlanta,myubc.org,5,4,7,28.57%,3.29,0:03:54,0.00%,0,$0.00 ,20180819
Franklin,google,5,1,6,16.67%,2.67,0:15:12,0.00%,0,$0.00 ,20180819
Winston-Salem,google,5,3,5,40.00%,1.6,0:00:29,0.00%,0,$0.00 ,20180819
North Druid Hills,myubc.org,5,3,5,40.00%,2,0:05:57,0.00%,0,$0.00 ,20180819
Chapel Hill,google,4,3,4,50.00%,2,0:02:08,0.00%,0,$0.00 ,20180819
Creedmoor,google,4,3,4,50.00%,4.25,0:19:19,0.00%,0,$0.00 ,20180819
Franklin,myubc.org,4,2,4,0.00%,7.75,0:12:44,0.00%,0,$0.00 ,20180819
Raleigh,(direct),4,0,5,80.00%,1.2,0:00:21,0.00%,0,$0.00 ,20180819
Raleigh,myubc.org,4,2,7,14.29%,5.71,0:06:59,0.00%,0,$0.00 ,20180819
Cincinnati,(direct),4,4,4,0.00%,5.75,0:01:22,0.00%,0,$0.00 ,20180819
North Druid Hills,(direct),4,4,4,75.00%,1.25,0:00:01,0.00%,0,$0.00 ,20180819
(not set),myubc.org,3,3,4,0.00%,5.25,0:18:50,0.00%,0,$0.00 ,20180819
Cary,myubc.org,3,2,3,0.00%,4,0:04:40,0.00%,0,$0.00 ,20180819
Roanoke Rapids,google,3,3,3,33.33%,3,0:10:40,0.00%,0,$0.00 ,20180819
New York,google,3,0,3,66.67%,2,0:02:50,0.00%,0,$0.00 ,20180819
Orlando,google,2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Atlanta,yahoo,2,1,2,0.00%,2,0:14:46,0.00%,0,$0.00 ,20180819
Burnsville,google,2,2,2,50.00%,1.5,0:01:43,0.00%,0,$0.00 ,20180819
Cary,(direct),2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Cary,google,2,1,4,75.00%,1.25,0:05:08,0.00%,0,$0.00 ,20180819
Chapel Hill,(direct),2,2,2,50.00%,4.5,0:14:27,0.00%,0,$0.00 ,20180819
Chapel Hill,myubc.org,2,0,5,0.00%,3.4,0:08:22,0.00%,0,$0.00 ,20180819
Creedmoor,myubc.org,2,1,2,0.00%,2,0:00:10,0.00%,0,$0.00 ,20180819
Franklin,bing,2,1,6,83.33%,1.17,0:00:07,0.00%,0,$0.00 ,20180819
Greensboro,(direct),2,2,3,66.67%,2,0:00:23,0.00%,0,$0.00 ,20180819
Greensboro,google,2,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Greensboro,myubc.org,2,1,3,66.67%,1.67,0:03:16,0.00%,0,$0.00 ,20180819
Henderson,(direct),2,2,2,50.00%,1.5,0:00:37,0.00%,0,$0.00 ,20180819
High Point,google,2,1,5,60.00%,3.2,0:04:46,0.00%,0,$0.00 ,20180819
Hillsborough,myubc.org,2,1,2,0.00%,3,0:00:35,0.00%,0,$0.00 ,20180819
Mebane,myubc.org,2,0,2,0.00%,4,0:10:41,0.00%,0,$0.00 ,20180819
Raleigh,bing,2,0,9,77.78%,2.33,0:09:24,0.00%,0,$0.00 ,20180819
Swannanoa,yahoo,2,1,2,0.00%,5,0:22:21,0.00%,0,$0.00 ,20180819
Sylva,(direct),2,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Whiteville,myubc.org,2,1,4,0.00%,2.75,0:07:41,0.00%,0,$0.00 ,20180819
Williamston,(direct),2,1,2,0.00%,2.5,0:12:24,0.00%,0,$0.00 ,20180819
New York,myubc.org,2,0,2,0.00%,2.5,0:01:11,0.00%,0,$0.00 ,20180819
Philadelphia,(direct),2,0,2,0.00%,2,0:04:44,0.00%,0,$0.00 ,20180819
Charleston,(direct),2,2,2,50.00%,2,0:00:29,0.00%,0,$0.00 ,20180819
Dallas,myubc.org,2,0,4,50.00%,4.25,0:15:19,0.00%,0,$0.00 ,20180819
Chantilly,google,2,2,4,25.00%,4.5,0:06:47,0.00%,0,$0.00 ,20180819
Charlottesville,google,2,1,2,50.00%,1.5,0:01:03,0.00%,0,$0.00 ,20180819
Fearrington,google,2,0,2,50.00%,2.5,0:02:40,0.00%,0,$0.00 ,20180819
Mobile,myubc.org,1,1,1,0.00%,2,0:00:03,0.00%,0,$0.00 ,20180819
Washington,myubc.org,1,0,2,50.00%,1.5,0:00:02,0.00%,0,$0.00 ,20180819
Miami Beach,(direct),1,0,1,0.00%,3,0:03:47,0.00%,0,$0.00 ,20180819
Orlando,(direct),1,0,1,0.00%,2,0:15:10,0.00%,0,$0.00 ,20180819
Atlanta,cvriskcalculator.com,1,0,1,0.00%,8,0:22:00,0.00%,0,$0.00 ,20180819
Riverdale,(direct),1,1,2,50.00%,1.5,0:00:38,0.00%,0,$0.00 ,20180819
Roswell,myubc.org,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Louisville,google,1,1,1,0.00%,4,0:00:57,0.00%,0,$0.00 ,20180819
Addis,myubc.org,1,1,1,0.00%,2,0:00:10,0.00%,0,$0.00 ,20180819
Baltimore,google,1,1,1,0.00%,5,0:01:33,0.00%,0,$0.00 ,20180819
Hyattsville,(direct),1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180819
Bay Saint Louis,r.search.aol.com,1,1,2,50.00%,1.5,0:02:53,0.00%,0,$0.00 ,20180819
Apex,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Butner,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Cary,bing,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Chapel Hill,yahoo,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Charlotte,dnsrsearch.com,1,0,1,0.00%,3,0:27:56,0.00%,0,$0.00 ,20180819
Concord,myubc.org,1,0,1,0.00%,2,0:00:17,0.00%,0,$0.00 ,20180819
Creedmoor,(direct),1,1,1,0.00%,7,0:10:02,0.00%,0,$0.00 ,20180819
Durham,dnserrorassist.att.net,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Durham,outlook.live.com,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Fuquay Varina,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Fuquay Varina,myubc.org,1,1,1,0.00%,3,0:00:29,0.00%,0,$0.00 ,20180819
Greensboro,yahoo,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Henderson,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
High Point,(direct),1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180819
High Point,myubc.org,1,0,1,0.00%,2,0:01:34,0.00%,0,$0.00 ,20180819
Hillsborough,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Hillsborough,google,1,0,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Jacksonville,(direct),1,0,2,50.00%,3.5,0:05:08,0.00%,0,$0.00 ,20180819
Jacksonville,google,1,0,1,0.00%,2,0:00:20,0.00%,0,$0.00 ,20180819
Kernersville,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Kittrell,myubc.org,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Knightdale,myubc.org,1,0,1,0.00%,2,0:00:15,0.00%,0,$0.00 ,20180819
Leland,myubc.org,1,1,1,0.00%,3,0:02:46,0.00%,0,$0.00 ,20180819
Mebane,(direct),1,0,1,0.00%,5,0:24:48,0.00%,0,$0.00 ,20180819
Mebane,google,1,1,1,0.00%,5,0:01:00,0.00%,0,$0.00 ,20180819
Morrisville,(direct),1,1,1,0.00%,2,0:01:26,0.00%,0,$0.00 ,20180819
Morrisville,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Oxford,(direct),1,0,1,0.00%,2,0:00:06,0.00%,0,$0.00 ,20180819
Oxford,bing,1,1,1,0.00%,3,0:10:26,0.00%,0,$0.00 ,20180819
Raleigh,yahoo,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Roanoke Rapids,(direct),1,0,2,50.00%,2.5,0:03:12,0.00%,0,$0.00 ,20180819
Roanoke Rapids,myubc.org,1,0,1,0.00%,8,0:29:43,0.00%,0,$0.00 ,20180819
Roxboro,google,1,1,1,0.00%,5,0:08:14,0.00%,0,$0.00 ,20180819
Roxboro,myubc.org,1,0,2,0.00%,4.5,0:06:31,0.00%,0,$0.00 ,20180819
Siler City,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Swannanoa,facebook.com,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Sylva,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Wake Forest,google,1,1,1,0.00%,2,0:00:38,0.00%,0,$0.00 ,20180819
Wake Forest,myubc.org,1,0,3,0.00%,2,0:00:23,0.00%,0,$0.00 ,20180819
Wendell,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Wilson,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Winston-Salem,frontpage.pch.com,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Winston-Salem,myubc.org,1,0,1,0.00%,2,0:00:09,0.00%,0,$0.00 ,20180819
New York,myactivity.google.com,1,0,1,0.00%,3,0:18:38,0.00%,0,$0.00 ,20180819
Newburgh,google,1,0,3,66.67%,2,0:00:43,0.00%,0,$0.00 ,20180819
Cincinnati,bing,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Lancaster,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Philadelphia,google,1,0,1,0.00%,2,0:12:41,0.00%,0,$0.00 ,20180819
Blythewood,(direct),1,0,1,0.00%,5,0:13:38,0.00%,0,$0.00 ,20180819
Columbia,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Conway,(direct),1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Kingstree,bing,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Manning,google,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Myrtle Beach,google,1,1,1,0.00%,2,0:01:22,0.00%,0,$0.00 ,20180819
Myrtle Beach,myubc.org,1,0,1,0.00%,2,0:00:03,0.00%,0,$0.00 ,20180819
North Myrtle Beach,(direct),1,0,1,0.00%,3,0:01:10,0.00%,0,$0.00 ,20180819
Sumter,myubc.org,1,0,1,0.00%,2,0:00:04,0.00%,0,$0.00 ,20180819
Johnson City,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Johnson City,myubc.org,1,1,1,0.00%,4,0:08:35,0.00%,0,$0.00 ,20180819
Nashville,google,1,1,2,0.00%,3,0:01:37,0.00%,0,$0.00 ,20180819
Carrollton,myubc.org,1,0,1,0.00%,2,0:00:02,0.00%,0,$0.00 ,20180819
Dallas,(direct),1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Dallas,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
Kilgore,google,1,0,1,100.00%,1,0:00:00,0.00%,0,$0.00 ,20180819
